V1,V2,V3,V4,V5,V6,V7,Class
5,3,3603,3603,30955,159117,90162,10
2,1,87271,87257,67875,138374,87437,4
2,3,77238,77224,145432,7100,44294,10
5,2,37623,37615,68562,121570,88128,4
3,3,149256,149235,29290,47861,141389,3
4,4,65416,65403,150506,88412,162281,10
4,1,66159,66146,38101,110807,2542,3
5,1,29489,29485,40970,99288,56135,3
5,1,36426,36418,112074,72021,100719,4
5,4,42439,42431,29704,72057,146297,10
5,1,4147,4147,134499,11093,61685,3
3,3,143595,143575,94638,1325,158562,7
2,1,97121,97105,45098,110564,16355,3
5,3,28238,28234,158457,146,54960,10
3,2,139108,139088,7527,82634,118064,4
1,4,105925,105908,107065,101612,150821,8
3,1,161967,161942,95835,118443,56600,3
3,3,138649,138629,14886,35381,139501,3
4,2,61463,61452,107231,77046,53606,7
4,4,68034,68021,103543,35926,92453,9
5,4,1335,1335,109381,46899,162190,3
1,1,133167,133147,39111,99857,88447,3
2,1,93007,92992,63334,138601,99633,4
2,4,98988,98972,31422,120140,92282,10
1,2,132002,131982,39114,137995,72798,5
5,2,18492,18489,139746,84625,124672,4
4,3,58757,58746,131194,37759,115320,4
3,4,160249,160224,5027,100359,142667,5
1,4,130654,130634,95890,137300,157486,3
5,2,18901,18898,142831,77588,80268,4
3,4,155850,155826,67933,53135,148279,7
2,4,93793,93778,34896,8136,59566,4
4,2,52424,52416,109403,91141,16046,4
4,3,54583,54575,144945,61694,55678,10
5,1,20487,20483,62375,79193,120041,3
2,4,75692,75678,12248,35689,160327,3
2,3,81905,81891,5675,568,128447,4
1,3,111166,111148,36288,29074,75258,6
5,1,904,904,88160,109258,68133,7
4,1,61791,61780,114612,113174,28890,7
5,2,19206,19203,146461,92846,104432,10
5,3,9354,9353,45717,72904,139963,3
3,2,148301,148280,18030,81865,69490,3
3,1,150696,150675,81136,159509,33330,4
4,3,53832,53824,37363,78450,154794,3
4,3,43732,43724,7996,62738,147912,3
2,1,103361,103345,94608,59810,52184,7
5,1,28682,28678,71565,111473,104554,5
4,4,68364,68351,9683,155802,41915,4
1,4,128774,128754,161739,57396,64062,4
2,4,93689,93674,70636,83,100326,4
3,3,140096,140076,3450,41364,108987,7
2,2,82561,82547,71113,121478,65524,7
2,4,80300,80286,119404,39354,126564,9
2,3,78577,78563,135183,28347,151566,3
3,4,155209,155185,152949,102318,116194,10
5,3,910,910,85196,144705,133088,7
4,1,60384,60373,93421,53651,45641,3
5,1,30277,30273,130684,51574,117575,4
3,3,145885,145864,64816,101060,129427,3
1,1,129514,129494,40875,141844,99715,4
5,4,21837,21833,119270,125646,138192,10
4,1,74320,74306,79500,130048,124030,4
4,4,65578,65565,10247,128626,124177,5
5,1,20659,20655,70136,86515,57612,3
1,3,132772,132752,49230,52592,54540,6
5,3,8356,8355,50841,93683,135941,3
4,4,51145,51137,145788,107516,162088,3
2,1,82414,82400,59349,68278,7954,3
1,2,123226,123208,58824,85484,24045,7
5,1,42543,42535,41583,82754,51214,3
3,1,153335,153312,92909,21346,14882,4
1,1,130036,130016,51848,93682,47576,3
1,2,128265,128245,94391,109019,45407,7
5,1,35860,35852,76157,111497,31810,3
3,1,149868,149847,92096,51828,48762,7
5,1,23203,23199,101335,22980,118768,7
1,1,111136,111118,41945,117585,35957,6
2,1,103109,103093,79110,102197,73943,3
1,4,108685,108667,128980,117131,154021,3
2,1,102436,102420,115885,52388,91752,4
5,3,11715,11714,113189,144936,155038,4
3,1,162818,162793,126753,33352,87839,9
1,4,130920,130900,81580,24603,150499,7
2,3,81486,81472,32032,99579,126942,3
4,1,73102,73088,110381,86807,38969,7
4,2,65657,65644,66985,154589,113222,4
2,1,100725,100709,36404,72893,34731,3
1,4,117717,117699,33910,92283,138526,7
1,2,120553,120535,121359,66587,73519,7
5,2,23031,23027,97452,66955,52982,7
3,1,155827,155803,109942,37117,104635,7
5,3,8312,8311,58336,104011,131176,3
5,1,12260,12259,38696,114364,53695,10
1,3,125070,125052,149518,10595,98615,4
3,1,150914,150893,80678,157848,25865,4
4,4,53363,53355,2223,156385,98253,4
4,4,47937,47929,78464,90130,162636,3
1,1,111334,111316,50547,112360,39445,4
1,2,119009,118991,66897,153195,94357,4
5,3,19047,19044,154814,95312,100053,10
3,1,152022,152001,100397,109717,57276,3
1,2,132569,132549,37975,116712,40237,10
5,1,31529,31523,109632,34290,119819,7
1,4,129184,129164,158849,27126,140963,10
2,4,82550,82536,45798,33713,122112,7
4,4,59504,59493,41824,101609,158316,3
4,2,73058,73044,113918,80767,115886,7
2,4,95759,95744,8884,160278,98801,4
3,3,147262,147241,151095,64709,3967,4
4,2,50695,50687,42364,105318,15103,4
2,2,93980,93965,20774,26079,6771,3
2,2,97706,97690,138236,52448,93782,7
5,4,3384,3384,4967,134132,37745,4
4,3,44435,44427,56397,25556,112135,7
5,1,33300,33294,79433,135540,110545,4
5,1,16508,16505,30357,98073,37070,6
4,4,45931,45923,2689,143328,68835,4
1,3,109627,109609,123859,81114,124659,9
3,1,140566,140546,120305,21027,103235,4
4,3,53582,53574,130772,137278,158660,4
1,4,113615,113597,2048,129594,108426,4
1,2,127656,127636,24104,2494,9118,4
2,3,104332,104316,133438,85386,115111,2
3,4,141921,141901,36999,134282,134581,10
2,3,75990,75976,99898,151739,138649,7
1,3,130323,130303,140345,4627,125881,4
4,1,49731,49723,79834,141855,104544,4
1,3,113488,113470,21442,144916,79586,4
2,3,96722,96707,148437,27691,39523,4
3,1,164115,164090,37550,57862,22775,3
5,3,34667,34661,94006,129822,141048,3
3,1,158790,158765,71372,91782,22216,7
4,3,48174,48166,84549,30292,148295,7
5,1,12541,12540,130145,32615,124093,3
4,2,49238,49230,91714,118474,32462,9
4,2,48763,48755,94302,117087,33903,9
3,2,137934,137914,49593,162831,69887,5
4,4,50733,50725,15946,2642,77921,4
1,4,117412,117394,50703,90651,150103,8
2,2,84890,84876,131641,45142,30330,4
5,1,35072,35065,130570,110771,129102,3
5,2,26172,26168,115928,95703,75312,3
3,3,133298,133278,2992,31316,140617,3
4,2,56214,56203,74777,140093,82326,4
4,2,60671,60660,71704,106636,25782,4
5,3,10276,10275,22643,97714,140248,3
2,4,88083,88069,38612,7184,58419,4
1,3,132542,132522,35176,129499,47844,10
4,2,54363,54355,86129,8845,2506,4
2,3,90225,90211,20993,145367,103888,4
2,3,77565,77551,18199,151602,102500,4
3,4,146987,146966,161397,26237,100258,4
4,4,55368,55360,60328,8350,154023,7
3,3,162290,162265,102779,62515,146591,7
3,4,146990,146969,161230,23611,74617,4
5,4,40972,40964,77877,18784,122657,9
2,4,82258,82244,16189,37588,160829,3
5,1,13132,13131,125812,20997,44758,4
5,4,24059,24055,98663,72970,57889,2
4,2,58938,58927,81208,125841,988,4
5,4,1544,1544,19119,783,164019,4
5,1,13983,13982,101109,29062,82944,7
4,2,53728,53720,33472,82180,24120,10
5,2,21154,21150,117968,93549,28669,4
5,4,21384,21380,156286,46462,61107,4
4,4,66241,66228,69119,44313,162331,3
3,1,153762,153739,34417,136463,43398,5
4,3,53754,53746,31979,124770,81776,10
5,2,16666,16663,36213,111378,37486,4
3,4,159082,159057,72138,136545,135585,7
2,3,85024,85010,155773,12603,88988,4
3,4,146814,146793,161349,42671,57590,4
4,3,67806,67793,105952,60530,26841,9
2,1,92298,92283,154760,31034,85128,9
1,3,121496,121478,22777,152262,78981,4
5,1,37773,37765,84273,140391,59804,4
4,1,59219,59208,101583,119979,21425,4
1,3,108690,108672,132039,121844,153107,3
1,2,111116,111098,30312,83766,37846,6
5,3,10228,10227,58189,95519,139976,3
5,2,13269,13268,136415,30466,91528,10
4,2,52411,52403,115987,69382,22576,4
3,2,155680,155656,101542,54930,124663,7
2,2,94959,94944,88036,2150,127879,4
5,1,34308,34302,152114,103903,102525,4
5,1,6899,6899,147148,61044,68793,9
5,1,27134,27130,96197,113919,23086,7
3,3,156546,156522,105936,75381,99980,9
3,2,156966,156942,59469,161785,59229,4
5,2,38130,38122,30625,126158,74255,10
3,3,145492,145472,30681,58756,104054,4
1,2,113051,113033,111632,12144,28021,3
2,2,97336,97320,105468,9921,145919,7
3,1,144062,144042,140021,49751,95827,9
5,1,4037,4037,141909,34242,107830,3
4,3,45034,45026,143556,21293,54084,4
3,1,136142,136122,117944,71426,37405,4
1,3,107122,107105,146694,63579,112578,10
3,4,162724,162699,123843,28112,144685,7
1,4,122668,122650,150636,108552,159721,3
3,2,137353,137333,147842,80523,29193,9
3,2,152960,152937,68126,78192,16922,3
4,4,64060,64047,7224,67917,162693,3
1,1,114701,114683,95008,84867,3171,3
1,2,130369,130349,124348,95828,104400,4
5,3,31082,31076,90733,79761,141680,3
3,3,164086,164061,58047,99675,139112,3
1,3,115177,115159,85290,26495,149754,7
5,3,7085,7085,135433,50142,122012,9
5,3,40027,40019,93133,32721,126974,7
2,1,91972,91958,95066,43624,72398,7
5,1,18434,18431,54247,97169,63015,3
3,1,139656,139636,137806,125812,28432,3
5,2,26824,26820,104070,103096,22058,7
5,3,2645,2645,146668,46461,148015,3
5,2,24897,24893,60669,140022,101998,4
1,4,128269,128249,66459,153203,147501,7
4,3,63975,63962,122165,152915,139157,10
1,4,112583,112565,160166,28052,48733,4
3,2,158835,158810,45112,116259,23380,7
2,2,95730,95715,50529,151058,107744,4
5,4,43501,43493,12453,41766,162910,3
1,3,111888,111870,46782,8154,123202,7
5,4,40192,40184,62753,65356,153642,7
3,4,152761,152738,20242,8569,138446,7
4,3,60130,60119,14794,136736,71780,4
3,2,157717,157693,24191,33076,9060,5
2,3,76455,76441,42198,58207,149041,3
5,2,33061,33055,75544,140862,107626,4
5,3,11297,11296,39154,74264,143375,3
5,3,31184,31178,80315,74803,134293,3
2,1,83329,83315,100104,97787,89943,4
1,3,123013,122995,46697,49971,96003,7
5,2,43549,43541,31681,83206,9113,3
5,3,18877,18874,154283,49496,15128,4
2,3,94371,94356,22033,32177,107558,7
5,2,14078,14077,106631,65286,117492,7
3,3,138083,138063,27698,145671,42257,4
1,4,108547,108529,160985,48575,13171,4
5,4,1265,1265,12326,91943,153842,3
3,3,142647,142627,155828,29130,13491,4
4,3,59213,59202,151005,45057,32678,4
5,4,23738,23734,86545,32435,128776,9
2,4,101093,101077,161109,59690,38896,4
1,3,112181,112163,50747,23561,125360,7
3,4,159389,159364,28072,1583,156324,3
2,3,75817,75803,87830,122138,140264,3
4,4,55650,55642,138171,4677,89783,9
3,4,155141,155117,161238,38819,90642,4
5,2,25396,25392,63903,105372,55389,5
4,3,51863,51855,72194,120470,115957,7
2,3,88196,88182,37399,2751,71404,10
2,4,90825,90811,156941,22698,4511,4
2,2,79256,79242,138718,121374,154094,10
1,4,127523,127503,764,102140,23293,6
1,1,114909,114891,124060,91321,8030,7
5,1,16987,16984,37757,74597,78749,10
1,2,114716,114698,85720,45076,33265,3
4,2,64360,64347,54190,79599,54531,7
5,2,25191,25187,28759,123514,45183,3
1,3,107920,107902,33175,107730,123276,3
2,1,94262,94247,33773,34176,11465,7
5,2,14061,14060,108686,66801,121096,7
5,4,28157,28153,157439,34584,22165,4
5,4,41776,41768,12995,151207,78519,4
3,2,163846,163821,72862,144494,94016,4
1,3,133249,133229,148034,132284,157658,3
5,3,37018,37010,91521,32419,150287,10
1,3,130615,130595,135848,113290,133153,10
1,4,107154,107137,145054,83528,162445,3
3,2,141683,141663,67377,150208,110386,4
2,2,88831,88817,34379,88384,83972,7
1,4,130026,130006,52388,104803,153309,3
2,4,92697,92682,133971,86174,108639,2
5,3,10332,10331,1644,163337,9573,3
5,4,24577,24573,6415,152999,22741,4
5,1,4674,4674,142149,7620,46381,4
3,2,141872,141852,45037,149900,18593,10
4,3,61340,61329,73298,21030,133427,7
2,4,96269,96254,46706,109093,159789,3
5,3,783,783,88047,138847,130213,7
2,2,93289,93274,40301,119728,90098,10
4,1,61342,61331,108332,59594,47161,7
1,3,121164,121146,84014,121127,125550,3
4,1,52633,52625,85683,48307,15762,4
2,4,86261,86247,64766,40563,156191,7
1,4,109410,109392,69434,88195,151115,7
5,1,6688,6688,146621,56396,86362,9
1,2,114326,114308,137332,14198,96541,4
4,3,67887,67874,104698,62743,41775,9
1,2,125813,125793,122829,1813,94139,7
3,1,154646,154622,131906,3933,22830,1
5,3,29209,29205,135556,137415,154237,4
2,4,104216,104200,93312,69650,131588,9
3,2,147359,147338,128290,110743,94880,10
1,4,111003,110985,15652,26270,37519,6
4,2,52208,52200,103709,33585,16220,1
4,1,71586,71572,59254,162962,71905,4
5,2,37089,37081,89782,27049,55285,3
5,3,28602,28598,39124,86803,136509,3
4,3,44140,44132,53952,32562,115252,7
1,1,109742,109724,157612,15146,103448,9
3,2,159528,159503,113932,61391,90390,4
1,2,124276,124258,57526,135641,99859,4
2,3,97066,97050,53749,27808,155654,3
2,4,75830,75816,100222,115119,158126,3
2,3,78306,78292,139300,114006,155997,3
4,4,63616,63603,126909,13722,53389,6
4,3,68886,68872,24779,71862,144974,3
5,3,41952,41944,26832,111662,8050,4
2,2,83492,83478,106093,15436,27108,4
2,3,95063,95048,158100,11724,66,4
5,4,3801,3801,27273,111772,152128,3
4,3,61814,61803,92460,42724,104775,7
4,1,69870,69856,39433,76692,46693,8
4,3,59587,59576,15616,134952,87776,4
2,1,93490,93475,6896,124221,21012,6
2,3,81000,80986,22334,149625,87621,4
3,3,145758,145737,153558,119088,153532,3
5,1,43536,43528,30951,75932,1715,3
3,3,147595,147574,18684,118885,96513,5
5,3,26,26,27008,53192,141623,3
4,4,50248,50240,49854,119027,157117,3
3,3,146691,146670,40446,94641,155849,3
4,2,72841,72827,11490,62410,58313,3
1,3,109305,109287,86388,43876,147969,7
2,4,85292,85278,162011,21935,3384,10
1,1,120781,120763,138084,106979,84750,9
2,2,86083,86069,117076,12493,88648,7
5,4,42294,42286,15163,134937,88029,10
4,2,47399,47391,103033,53979,104654,10
1,1,115439,115421,155243,51805,124733,9
3,3,161195,161170,94759,32370,151819,1
1,1,118379,118361,109822,27227,87451,4
3,4,144999,144979,35852,105109,144959,10
4,1,54060,54052,87332,27073,71155,4
3,3,152744,152721,26132,17814,110179,7
5,1,25196,25192,39928,114906,10293,3
3,2,156331,156307,143242,31390,87631,9
4,2,50980,50972,31762,109390,37941,10
5,1,40702,40694,135539,40972,99492,7
3,2,150778,150757,57048,138927,93052,4
2,4,81449,81435,35439,138536,117423,10
5,1,7356,7355,135452,124201,10808,3
2,4,77900,77886,10176,153554,38678,4
1,2,130964,130944,133119,10843,143102,7
2,1,96370,96355,107410,60175,74315,1
3,2,137129,137109,122881,64816,90523,7
2,4,75911,75897,106503,146084,151170,7
3,1,138204,138184,71205,131093,75396,4
2,1,80537,80523,150718,32138,86656,9
3,4,146457,146436,24515,14722,133753,7
5,2,23608,23604,148383,21564,58950,9
1,4,111814,111796,41048,25444,132482,7
2,3,105111,105094,12648,1457,41,6
1,3,116955,116937,12293,3020,127430,4
5,3,6311,6311,91472,50698,139964,7
2,1,86430,86416,149936,37277,84221,9
2,3,104201,104185,110549,72018,88416,9
4,3,64052,64039,11700,76734,151946,3
1,3,121116,121098,122214,57556,92014,2
1,2,129857,129837,58528,157206,117939,4
2,4,84562,84548,12554,133994,125975,10
4,1,49560,49552,79185,126003,44913,3
5,1,9331,9330,31185,69468,14764,3
5,2,14536,14534,125719,53137,28577,7
4,1,59957,59946,83216,152431,118230,4
2,4,101169,101153,146950,38600,64522,4
3,3,149577,149556,78293,75579,141790,7
1,4,118265,118247,154881,13563,103408,4
1,3,127795,127775,2699,89625,61,4
3,4,159828,159803,162683,51507,73582,4
4,3,55812,55804,110570,20710,121464,9
2,4,80189,80175,106935,11607,148386,9
5,3,32141,32135,96052,22776,94878,9
5,3,23095,23091,83075,33816,138228,7
2,3,89970,89956,27133,156584,110534,4
4,1,62525,62512,104189,102060,59405,10
4,1,47839,47831,76129,95907,15734,3
3,2,158205,158181,13989,91452,17696,10
5,2,28362,28358,115036,10025,16305,10
5,2,16414,16411,38640,130297,8444,5
2,3,89187,89173,144061,4147,36201,4
1,3,110225,110207,27255,162832,51582,4
3,4,161518,161493,158170,81791,46476,4
5,4,5909,5909,71663,72297,151776,7
1,3,112252,112234,60453,64747,145443,11
2,1,99695,99679,60692,131873,6916,3
5,2,22516,22512,97444,66481,48065,7
4,1,54797,54789,66636,95904,20906,3
5,1,35853,35845,104401,117804,73277,3
4,2,46542,46534,25235,92004,39353,10
1,1,111519,111501,37205,106517,13515,3
3,4,134790,134770,145830,89737,122839,10
1,3,108405,108387,155518,56676,98814,4
2,1,91725,91711,96876,39592,94964,7
1,1,111126,111108,39975,106331,27141,6
1,1,117703,117685,90546,68306,857,7
1,4,109730,109712,110707,69701,132554,9
3,1,158215,158191,23878,70454,170,10
5,1,18247,18244,42676,127680,21911,3
5,4,2789,2789,31572,101959,154935,3
2,3,100111,100095,82485,148109,137733,7
4,3,70975,70961,153367,80601,106373,4
3,4,155434,155410,35806,14374,158017,3
1,3,117881,117863,41200,108652,122113,7
2,3,102444,102428,158820,44078,141850,4
3,3,139001,138981,13848,80297,2739,6
1,3,105909,105892,120527,118684,126918,3
3,4,141321,141301,10017,129404,81797,5
3,1,154967,154943,116181,11463,83454,4
4,1,49808,49800,78719,143172,94042,4
1,4,129575,129555,8622,120761,63802,4
1,2,108506,108488,111525,37095,105658,4
5,2,6431,6431,155647,56278,22529,9
2,2,90494,90480,24826,93303,38899,10
4,3,58155,58144,50106,28638,128438,7
5,2,28472,28468,95730,21785,55154,3
3,1,156039,156015,94130,44922,94226,7
4,2,63146,63133,55398,104935,30649,4
3,4,164707,164682,33648,91561,125539,10
1,4,114099,114081,158422,3915,121621,4
1,2,129606,129586,52192,128739,51325,4
5,3,36605,36597,149056,21422,49665,4
3,1,156291,156267,145233,67638,23201,9
2,1,75732,75718,14232,97715,28242,3
1,4,127424,127404,7507,28366,48477,6
3,3,147484,147463,116230,100598,127342,3
4,2,59268,59257,131168,146175,35621,4
3,3,145749,145728,150811,110597,153125,3
2,3,104520,104504,20182,161072,112724,4
2,3,101008,100992,149728,16403,134991,4
4,4,64264,64251,76601,93564,162602,3
4,1,74170,74156,121057,154018,53968,3
2,4,80192,80178,105612,12998,141807,9
4,3,69990,69976,15179,76358,137145,7
3,4,158076,158052,44950,63252,58138,4
1,1,118035,118017,110647,53420,68042,4
3,1,158001,157977,5424,18351,652,4
3,1,140288,140268,23005,66483,25692,11
3,2,154965,154941,124034,21657,42395,4
3,3,141684,141664,27351,150652,41063,4
2,2,86134,86120,99659,24350,76764,7
